height1,weight1,reach1,ss1,ta1,stance1,age1,ssapm1,ssD1,tdD1,avg_sub1,height2,weight2,reach2,ss2,ta2,stance2,age2,sapm2,ssD2,tdD2,avg_sub2,outcome
67,145,69,45,0,1,27,3.35,57,100,1.3,66,145,71,43,0,1,36,3.44,55,100,0.2,1
73,185,72,44,0,1,33,6.38,46,100,0.0,72,185,73,54,0,1,34,3.45,56,100,0.0,0
66,135,68,43,45,1,33,2.37,63,86,0.3,64,135,64,37,14,1,37,3.29,57,55,0.2,1
72,185,75,44,21,1,31,3.46,39,100,3.0,72,185,75,61,0,0,33,4.1,56,79,0.0,1
64,115,65,51,100,0,37,4.21,62,67,0.7,64,115,63,38,33,1,31,4.09,49,0,1.3,1
66,135,69,48,0,1,37,2.53,46,0,0.0,67,135,68,54,100,0,29,1.38,52,100,1.6,0
75,205,81,45,0,1,28,6.77,40,100,0.0,74,205,75,60,0,1,26,6.39,55,100,0.0,0
74,170,79,51,0,0,29,3.65,57,100,0.0,72,170,72,43,0,1,31,6.91,49,100,0.0,1
72,170,72,63,60,1,27,2.17,63,0,0.0,68,170,74,37,100,1,31,4.93,37,40,0.0,1
66,125,69,35,66,1,35,3.76,52,63,0.6,63,125,65,48,37,0,27,2.6,65,34,0.4,0
74,185,75,36,0,1,28,3.58,49,50,0.9,73,185,77,51,50,1,36,3.69,64,100,0.4,0
67,145,71,57,0,1,33,3.52,76,100,0.3,71,145,74,24,0,1,34,4.11,43,100,0.3,1
72,185,75,24,0,1,34,4.47,61,100,0.0,75,185,75,39,0,0,28,5.01,76,100,0.0,0
73,185,74,44,0,1,37,3.15,43,67,0.0,75,185,75,57,33,1,32,5.3,56,100,0.5,0
69,155,71,51,0,1,30,5.16,46,50,0.0,70,155,73,54,50,0,38,3.83,49,100,0.0,0
72,185,73,54,100,1,35,4.6,55,100,1.6,75,185,71,45,0,1,34,2.9,46,0,0.0,1
72,170,74,66,0,1,32,2.22,49,100,0.3,73,170,78,51,0,2,31,5.95,34,100,0.0,0
69,155,71,35,16,1,25,4.23,61,0,0.0,70,155,73,39,100,1,29,2.53,65,84,0.0,0
61,115,61,51,50,1,28,2.48,56,50,0.1,66,115,65,44,50,1,31,3.92,49,50,0.0,1
75,205,74,53,100,1,36,3.3,59,100,0.0,72,205,75,41,0,1,34,3.24,47,0,0.1,1
69,170,74,37,50,2,38,1.31,51,50,0.8,71,170,76,49,50,1,39,3.81,63,50,0.3,0
74,205,76,65,0,1,36,2.73,66,100,0.0,75,205,76,34,0,1,32,5.81,35,100,0.0,0
69,145,70,54,33,2,34,2.16,68,100,2.0,67,135,67,32,0,1,32,3.79,46,67,0.6,1
74,185,76,22,0,1,36,3.36,41,100,1.3,75,185,75,59,0,1,29,3.26,78,100,1.5,0
71,155,72,54,50,1,35,3.8,62,50,0.6,68,155,70,38,50,0,36,4.23,46,50,0.1,1
75,170,78,28,0,1,34,3.33,55,100,0.5,71,170,70,45,0,1,40,2.94,72,100,0.0,1
69,170,72,63,0,1,34,3.03,58,100,0.0,75,170,75,42,0,1,28,4.61,37,100,0.8,1
67,115,68,37,0,1,28,6.55,54,0,0.0,64,115,62,46,100,1,34,4.94,63,100,0.6,0
69,125,70,54,33,2,33,3.15,77,72,0.6,67,125,70,23,28,0,29,5.23,46,67,0.5,1
69,170,71,0,0,2,28,12.83,34,100,0.0,73,170,77,66,0,1,33,1.67,100,100,0.0,0
70,145,73,59,66,1,29,1.57,65,100,0.5,68,145,68,35,0,2,34,4.15,41,34,0.6,1
66,125,69,48,66,1,31,3.63,73,80,0.6,67,125,66,27,20,1,31,4.54,52,34,1.7,1
70,155,69,41,0,1,28,3.29,64,67,0.0,69,155,70,36,33,0,29,7.7,59,100,0.0,1
75,205,77,52,0,1,29,4.17,33,84,0.0,73,264,74,67,16,0,29,3.79,48,100,0.7,1
75,170,80,55,50,1,37,2.42,33,34,0.3,73,170,73,67,66,1,33,3.33,45,50,1.0,1
70,185,75,54,0,1,37,6.58,50,100,0.0,73,185,74,50,0,1,34,5.67,46,100,0.1,1
68,145,70,42,0,0,30,2.91,57,71,0.4,67,145,72,43,29,1,30,2.89,58,100,0.2,0
66,135,70,62,0,1,28,3.93,59,56,0.0,66,135,64,41,44,1,33,4.98,38,100,0.0,1
69,145,69,38,0,2,29,4.31,53,67,0.6,74,145,78,47,33,1,32,4.0,62,100,0.5,0
68,135,70,42,0,0,30,5.41,66,100,0.0,71,135,72,34,0,2,28,4.19,58,100,0.0,1
65,115,67,29,0,1,32,2.65,42,0,1.9,65,115,63,58,100,1,29,3.12,71,100,1.0,0
75,155,78,50,100,1,28,3.41,89,100,3.6,73,170,76,11,0,1,32,3.38,50,0,0.5,1
67,125,68,77,40,1,35,4.03,52,100,0.4,67,125,65,48,0,1,36,7.03,23,60,0.0,1
67,125,68,42,25,1,34,5.2,48,0,5.4,67,125,71,52,100,2,34,2.0,58,75,1.0,1
75,205,75,67,0,1,32,2.25,67,100,0.0,78,205,82,33,0,1,32,2.83,33,100,0.9,1
68,155,71,43,0,0,36,4.26,43,0,1.0,68,155,71,57,100,0,41,3.18,57,100,1.7,0
69,135,69,41,0,2,31,3.99,59,85,1.0,66,135,69,41,15,1,32,3.61,59,100,0.4,1
72,185,77,48,0,1,35,3.72,56,75,0.2,70,185,72,44,25,1,32,4.17,52,100,0.0,0
75,240,77,45,0,1,45,3.2,64,100,0.2,76,260,78,36,0,1,33,4.02,55,100,0.0,0
71,170,71,54,63,1,29,3.18,60,50,3.1,73,170,75,40,50,2,32,4.21,46,37,0.4,1
68,135,69,52,33,1,34,2.52,66,100,0.8,67,135,69,34,0,1,32,3.49,48,67,0.0,1
66,135,73,43,0,0,32,2.37,58,69,0.4,68,135,71,42,31,1,27,2.44,57,100,0.6,0
69,155,70,52,0,1,31,4.78,40,100,0.0,75,155,73,60,0,0,24,9.45,48,100,0.0,1
74,170,74,52,66,0,34,2.34,66,80,0.4,71,170,72,34,20,1,37,2.98,48,34,0.2,1
69,125,68,54,0,0,33,3.05,40,43,1.5,65,125,67,60,57,1,35,3.9,46,100,1.0,0
72,170,75,64,0,1,42,3.03,23,80,0.0,73,170,77,77,20,1,31,2.41,36,100,1.8,0
71,155,76,59,0,1,41,4.41,36,75,0.9,70,155,73,64,25,1,30,3.7,41,100,1.6,0
70,145,70,0,0,0,31,1.63,80,100,1.6,66,145,70,20,0,1,40,4.61,100,100,0.1,0
75,205,76,62,0,1,37,4.07,42,50,0.0,72,205,76,58,50,1,38,3.51,38,100,0.3,0
65,135,67,58,0,1,31,4.78,53,100,0.0,69,135,68,47,0,1,37,6.33,42,100,0.2,0
66,135,66,68,0,2,39,4.64,52,100,0.7,68,135,65,48,0,1,34,3.91,32,100,0.0,0
66,125,69,41,0,1,28,6.3,50,0,0.7,66,125,67,50,100,1,31,4.23,59,100,0.4,0
67,125,70,58,100,0,34,3.3,26,100,2.1,67,125,67,74,0,0,34,2.89,42,0,0.3,1
71,145,74,55,0,1,35,4.11,60,100,0.3,71,145,71,40,0,1,34,5.32,45,100,0.0,1
76,265,77,40,0,1,34,5.7,50,100,0.3,76,265,78,50,0,1,35,0.93,60,100,1.8,0
68,135,67,46,66,1,28,3.73,40,100,0.2,69,135,67,60,0,1,34,2.79,54,34,0.1,1
70,155,72,55,0,0,30,5.25,66,100,0.0,72,155,74,34,0,1,31,4.49,45,100,0.1,1
70,185,73,45,0,1,34,3.3,54,22,1.1,73,185,78,46,78,0,35,1.99,55,100,1.2,0
74,170,75,57,50,1,32,5.1,61,100,0.8,72,170,71,39,0,1,35,6.38,43,50,0.0,1
66,125,66,40,0,2,36,7.39,60,100,0.0,67,125,66,40,0,1,30,3.43,60,100,2.6,0
72,155,75,59,0,0,33,2.4,40,80,0.7,70,155,71,60,20,0,29,2.99,41,100,0.5,1
66,135,67,50,50,1,25,3.64,62,0,0.0,66,135,68,38,100,1,37,2.48,50,50,0.6,1
67,125,70,76,0,1,25,1.15,50,100,2.4,68,125,67,50,0,1,32,4.54,24,100,0.3,1
61,115,58,22,11,1,35,4.8,57,100,0.0,62,115,62,43,0,1,30,4.63,78,89,0.0,1
70,155,72,25,0,0,36,2.65,47,100,0.9,67,155,72,53,0,1,29,1.91,75,100,0.0,0
70,155,71,57,0,1,39,3.74,45,100,0.3,75,155,77,55,0,0,30,4.63,43,100,1.2,0
68,135,71,48,0,1,38,3.65,40,43,0.3,65,135,68,60,57,1,38,3.46,52,100,1.6,0
70,170,72,58,100,1,33,3.55,44,100,1.2,69,170,71,56,0,0,34,3.23,42,0,0.1,1
68,155,69,50,66,0,36,4.51,68,82,0.7,67,155,70,32,18,1,44,3.01,50,34,0.6,1
72,185,75,52,57,1,34,3.29,58,100,0.7,71,185,72,42,0,0,33,4.55,48,43,0.0,1
66,135,65,86,80,1,39,2.98,73,100,1.3,67,135,68,27,0,1,37,2.86,14,20,0.3,1
76,185,77,80,0,2,31,6.56,25,0,9.8,72,185,72,75,100,1,31,2.51,20,100,1.1,0
69,155,70,100,0,1,37,3.4,0,50,0.0,69,155,70,100,50,1,32,1.53,0,100,1.5,1
75,205,77,61,25,1,29,5.9,43,100,0.5,75,185,75,57,0,0,29,5.01,39,75,0.0,1
72,170,72,64,100,1,29,4.17,37,0,0.8,72,170,77,63,100,1,32,6.68,36,0,0.2,0
64,125,64,42,50,0,30,4.1,51,67,0.4,67,125,66,49,33,1,35,3.53,58,50,0.0,1
75,185,76,42,0,1,38,2.86,26,0,1.6,74,185,75,74,100,1,30,3.6,58,100,1.7,0
72,170,79,40,0,1,26,3.6,62,100,0.0,71,170,73,38,0,1,31,2.56,60,100,0.6,1
73,155,74,33,0,0,26,3.59,25,100,2.2,69,155,71,75,0,0,30,1.84,67,100,1.1,1
69,135,74,41,20,0,29,2.89,48,100,0.6,70,135,70,52,0,2,27,3.12,59,80,0.6,0
62,115,62,47,16,1,33,4.38,62,100,0.3,63,125,66,38,0,1,32,3.33,53,84,0.8,0
73,170,71,51,0,0,32,3.18,60,30,0.0,70,170,74,40,70,1,27,1.52,49,100,1.6,0
68,145,72,40,100,1,30,2.62,13,75,0.8,72,145,71,87,25,2,33,3.35,60,0,0.8,1
66,135,64,36,50,1,39,3.55,42,50,0.8,72,135,71,58,50,1,30,1.73,64,50,0.6,0
76,265,79,39,30,1,30,4.01,43,100,0.5,76,250,78,57,0,0,31,1.87,61,70,0.0,1
71,145,73,68,0,1,30,1.83,56,0,0.0,68,145,69,44,100,1,30,2.84,32,100,0.6,0
65,135,66,56,25,2,31,1.18,53,100,0.0,68,135,67,47,0,1,31,3.83,44,75,0.7,1
69,125,70,66,0,2,34,3.15,59,87,0.6,68,125,69,41,13,1,29,3.35,34,100,0.7,0
75,205,80,56,33,1,33,5.17,38,100,0.3,76,205,79,62,0,1,38,3.65,44,67,0.4,0
77,256,78,71,0,1,32,2.77,86,100,1.7,75,257,84,14,0,0,33,4.61,29,100,0.0,1
64,115,63,42,0,1,32,4.09,51,100,1.3,61,115,62,49,0,1,34,5.36,58,100,0.4,0
71,145,72,72,0,1,31,4.91,42,100,5.3,68,145,70,58,0,1,35,1.54,28,100,1.9,1
64,125,67,55,16,1,29,3.61,41,88,0.0,68,125,68,59,12,1,30,3.57,45,84,1.0,0
61,115,61,37,0,1,30,4.86,56,100,0.2,62,115,61,44,0,1,32,3.76,63,100,1.1,0
74,155,73,28,0,1,31,3.12,38,0,0.9,67,155,66,62,100,0,33,2.01,72,100,1.6,0
69,155,68,54,0,1,37,3.4,39,100,0.0,68,155,72,61,0,1,41,3.97,46,100,0.0,1
69,145,70,42,0,2,28,4.93,30,100,0.3,70,145,74,70,0,1,36,3.79,58,100,0.2,0
75,260,79,51,0,1,40,2.48,33,60,0.0,75,205,79,67,40,1,34,0.52,49,100,2.4,0
71,170,74,46,0,1,41,3.43,58,40,0.1,73,170,72,42,60,1,28,5.25,54,100,3.8,1
74,246,80,45,0,1,33,4.76,51,100,0.7,78,260,81,49,0,1,33,3.84,55,100,0.0,1
74,185,78,35,0,1,35,5.36,51,100,0.0,70,185,75,49,0,0,32,1.98,65,100,0.5,0
72,155,73,25,0,1,34,4.79,52,100,2.2,70,155,72,48,0,1,28,5.05,75,100,0.0,0
74,205,77,30,50,1,28,2.65,53,100,1.0,75,205,78,47,0,2,31,3.87,70,50,0.0,1
63,115,64,63,55,1,40,4.94,54,67,0.1,62,115,63,46,33,1,26,3.66,37,45,0.8,1
70,155,73,40,37,1,32,2.64,46,0,0.0,69,155,73,54,100,1,30,0.87,60,63,0.0,1
66,145,71,66,0,1,37,3.44,18,100,0.2,70,155,70,82,0,0,34,1.27,34,100,1.0,0
74,185,75,54,33,1,31,3.46,46,100,2.7,72,170,76,54,0,2,38,2.74,46,67,0.1,1
72,185,76,72,0,0,33,7.15,25,100,2.3,71,185,72,75,0,1,34,4.21,28,100,0.9,1
67,135,68,33,0,0,29,2.95,55,100,0.0,68,135,70,45,0,1,33,2.13,67,100,1.4,0
67,125,70,42,50,1,25,1.19,31,0,1.3,67,125,66,69,100,0,39,2.66,58,50,1.0,1
69,145,73,46,100,2,31,4.07,38,43,1.0,69,155,70,62,57,2,30,4.37,54,0,0.0,0
69,185,76,38,50,1,39,4.32,57,50,0.0,74,185,79,43,50,1,30,2.01,62,50,0.4,0
72,155,69,53,0,2,30,5.61,49,100,0.4,70,155,70,51,0,1,36,7.28,47,100,0.0,0
69,145,70,59,44,1,31,4.66,31,72,0.0,66,145,69,69,28,1,32,4.22,41,56,0.5,1
71,145,75,50,75,1,39,4.34,50,50,0.1,69,145,71,50,50,1,32,4.33,50,25,0.4,1
64,125,68,52,33,1,39,4.96,60,50,0.6,64,125,64,40,50,1,37,4.52,48,67,0.1,1
67,135,70,27,0,1,32,5.73,38,100,0.0,68,135,70,62,0,0,31,3.76,73,100,0.1,0
73,185,73,33,0,1,32,3.74,100,100,0.6,72,185,73,0,0,2,34,3.03,67,100,2.5,1
67,145,71,51,50,1,28,2.46,59,100,1.4,68,135,67,41,0,0,25,3.24,49,50,0.8,1
70,145,71,33,62,1,41,3.27,70,0,1.1,69,145,72,30,100,2,35,2.89,67,38,1.3,1
65,135,65,48,66,1,28,1.2,49,63,0.0,67,135,67,51,37,1,34,1.4,52,34,0.5,0
69,145,70,100,0,1,29,42.0,34,100,0.0,70,155,73,66,0,2,31,2.51,0,100,1.0,0
68,135,67,44,25,1,35,3.55,46,100,0.9,67,135,68,54,0,1,34,3.2,56,75,0.0,0
67,115,69,37,0,0,38,4.13,45,0,0.6,62,115,63,55,100,1,31,7.98,63,100,0.0,0
70,155,71,63,0,1,39,3.74,100,100,0.3,70,155,72,0,0,2,31,2.27,37,100,1.5,1
70,170,76,38,50,0,31,3.31,72,50,0.0,71,170,72,28,50,1,35,4.17,62,50,0.3,1
72,155,70,22,0,0,36,4.1,44,100,0.4,68,155,70,56,0,0,37,4.23,78,100,0.1,0
69,145,72,48,0,1,33,4.9,55,0,0.1,72,145,73,45,100,2,36,4.41,52,100,0.1,0
67,115,68,37,100,1,29,6.55,48,84,0.0,63,115,64,52,16,1,40,5.55,63,0,0.2,0
66,125,71,42,0,1,26,6.25,18,100,0.0,70,125,72,82,0,1,34,4.29,58,100,0.3,0
62,115,59,47,0,1,37,5.06,47,17,0.7,61,115,62,53,83,1,32,2.4,53,100,0.8,1
68,155,71,56,0,2,32,4.97,60,84,0.0,70,155,70,40,16,0,35,3.17,44,100,0.2,0
70,145,70,57,33,0,31,1.63,68,100,1.6,67,145,71,32,0,1,34,3.52,43,67,0.3,1
66,115,65,68,100,1,38,2.89,60,84,0.2,63,115,62,40,16,1,39,4.19,32,0,0.7,1
70,170,67,49,0,2,28,4.61,44,50,0.9,73,170,77,56,50,1,31,3.73,51,100,0.6,0
69,145,69,88,0,2,30,4.31,100,34,0.6,69,145,72,0,66,1,30,3.78,12,100,0.7,1
74,170,75,72,0,1,41,3.65,51,0,0.2,72,170,74,49,100,1,31,6.26,28,100,0.0,1
72,185,72,50,100,1,31,2.51,29,67,1.1,69,185,73,71,33,1,30,2.49,50,0,0.5,1
75,230,78,47,0,1,37,5.08,56,67,0.6,74,239,79,44,33,1,36,3.96,53,100,0.0,0
66,135,68,55,0,1,27,4.53,63,40,0.8,68,135,68,37,60,1,36,4.0,45,100,0.0,0
70,155,71,46,0,1,35,2.95,65,100,0.4,73,155,77,35,0,2,26,4.79,54,100,0.3,0
73,145,76,34,0,1,29,5.81,56,100,0.0,71,145,71,44,0,2,34,4.56,66,100,0.7,0
63,115,63,23,0,1,33,3.06,33,0,0.0,62,115,61,67,100,1,32,3.76,77,100,1.1,0
76,185,76,32,0,1,31,2.63,42,100,1.4,72,185,75,58,0,0,34,4.1,68,100,0.0,0
65,125,65,48,0,1,32,2.79,63,80,0.3,67,125,68,37,20,1,36,4.03,52,100,0.4,1
71,155,73,36,0,1,39,10.91,41,100,0.0,72,155,72,59,0,1,30,5.42,64,100,0.0,0
63,115,60,63,75,1,29,1.33,73,100,0.0,60,115,64,27,0,0,32,4.93,37,25,0.0,1
73,185,76,52,0,1,34,4.33,66,100,0.2,76,185,80,34,0,2,36,3.11,48,100,0.1,1
79,250,80,65,0,1,37,3.0,59,100,0.2,74,264,75,41,0,0,32,4.98,35,100,0.0,1
72,264,74,78,0,0,32,5.93,50,100,0.0,78,245,80,50,0,1,38,2.85,22,100,0.0,1
76,205,78,33,0,1,29,2.48,45,100,0.0,75,205,79,55,0,1,34,2.53,67,100,0.9,0
67,145,69,43,100,1,33,3.95,40,100,0.6,67,145,68,60,0,2,32,3.07,57,0,0.0,1
68,155,68,44,0,1,40,4.15,51,100,0.0,72,155,74,49,0,1,31,4.49,56,100,0.1,0
70,155,72,45,0,0,30,5.25,59,100,0.0,69,155,70,41,0,0,30,7.7,55,100,0.0,1
71,170,76,46,0,2,37,2.17,54,84,0.0,69,170,72,46,16,1,35,3.03,54,100,0.0,0
68,145,72,25,0,1,32,5.46,67,50,0.0,71,145,71,33,50,1,35,6.88,75,100,2.4,0
71,170,70,66,0,2,35,6.02,50,0,0.0,74,170,75,50,100,1,32,5.1,34,100,0.8,0
76,245,81,69,0,1,35,2.19,75,100,0.5,75,260,78,25,0,1,30,3.79,31,100,0.5,1
65,125,65,40,0,1,33,3.53,75,100,0.6,67,125,65,25,0,1,35,3.31,60,100,0.0,0
74,205,75,56,100,1,36,3.92,68,100,0.1,75,205,76,32,0,1,33,5.81,44,0,0.0,1
69,135,69,38,0,1,30,4.22,41,100,0.0,72,145,73,59,0,0,28,1.49,62,100,0.7,0
68,145,68,21,0,1,29,6.75,47,100,0.0,68,145,69,53,0,1,30,2.34,79,100,0.0,0
66,135,68,36,18,1,29,5.6,49,100,0.0,66,135,73,51,0,0,33,2.37,64,82,0.4,0
74,170,78,42,0,1,30,9.47,47,40,0.0,70,170,74,53,60,1,32,6.88,58,100,0.2,0
68,135,70,42,62,1,30,3.36,49,100,0.3,67,135,67,51,0,1,36,1.2,58,38,0.0,0
68,135,71,66,40,1,28,2.44,13,100,0.6,65,135,67,87,0,1,30,2.75,34,60,0.8,1
68,135,72,15,0,1,42,7.4,43,100,0.0,68,135,70,57,0,1,28,2.6,85,100,0.0,0
77,205,79,31,0,1,34,3.91,39,67,1.5,76,205,76,61,33,1,37,4.47,69,100,0.6,0
70,145,73,36,0,0,37,2.93,54,100,0.7,72,145,74,46,0,1,37,3.44,64,100,0.2,0
67,135,68,63,100,0,30,1.38,78,100,1.6,67,135,67,22,0,1,33,3.79,37,0,0.6,1
64,125,66,47,0,1,26,3.32,64,100,1.2,66,125,68,36,0,1,32,2.64,53,100,1.1,1
75,240,75,61,0,1,29,1.86,78,100,0.0,72,265,75,22,0,1,40,6.32,39,100,0.5,1
76,260,78,33,0,1,34,4.02,37,100,0.0,76,236,78,63,0,1,33,3.46,67,100,0.6,1
66,135,70,58,0,1,29,3.93,52,100,0.0,67,135,69,48,0,1,28,3.94,42,100,0.0,1
72,185,74,61,100,0,30,4.17,50,100,0.0,75,170,80,50,0,1,37,3.19,39,0,0.3,1
72,170,71,50,0,1,35,6.38,57,100,0.0,71,170,74,43,0,1,28,6.83,50,100,0.0,1
72,170,71,32,0,0,25,5.12,53,100,0.0,70,170,72,47,0,2,27,4.3,68,100,0.0,0
71,145,73,39,0,1,31,2.93,52,0,0.5,72,145,74,48,100,1,33,3.02,61,100,0.0,0
71,135,72,71,0,2,31,3.51,52,100,0.4,67,145,71,48,0,1,36,2.41,29,100,0.8,1
64,115,63,75,85,2,36,3.44,62,100,0.4,64,115,65,38,0,0,38,4.21,25,15,0.7,1
69,135,69,57,20,2,32,3.99,49,43,1.0,70,135,72,51,57,2,31,4.09,43,80,0.8,1
66,135,65,45,0,1,39,6.14,44,100,0.5,68,135,70,56,0,2,33,5.16,55,100,0.9,0
73,185,74,60,0,1,38,3.15,60,100,0.0,74,185,78,40,0,1,41,3.27,40,100,0.8,1
75,185,75,83,50,1,33,5.3,72,100,0.5,73,185,77,28,0,1,37,6.15,17,50,0.0,1
71,155,70,51,0,1,39,4.44,59,67,1.1,70,155,71,41,33,1,34,3.37,49,100,0.0,1
70,135,71,61,0,1,38,4.73,49,100,0.3,66,135,64,51,0,1,34,4.98,39,100,0.0,0
